config_lang_enUS,English (US),Inglês (EUA)
config_lang_ptBR,Portuguese (BR),Português (BR)
config_key_lt,Left,Esquerda
config_key_rt,Right,Direita
config_key_up,Up,Cima
config_key_dn,Down,Baixo
config_key_confirm,Confirm,Confirmar
config_key_cancel,Cancel,Cancelar
config_key_inv,Inventory,Inventário
config_key_use,Effect/Function,Efeito/Função
config_key_atwlk,Autowalk,Autowalk
config_key_pse,Pause,Pausar
config_key_fscr,Fullscreen,Tela Cheia
config_video_fscr_name,Fullscreen,Tela Cheia
config_video_vsync_name,Vsync,Vsync
config_video_hideCsr_name,Hide Cursor,Esconder Cursor
config_video_showVer_name,Show Version,Mostrar Versão
config_video_showFps_name,Show FPS,Mostrar FPS
config_video_showBdr_name,Show Border,Mostrar Borda
config_aud_emtr_master,Master,Geral
config_aud_emtr_mus,Music,Música
config_aud_emtr_amb,Ambience,Ambiente
config_aud_emtr_menu,Menu,Menu
config_aud_emtr_user,Player,Jogador
config_aud_emtr_prop,Props,Objetos
config_aud_emtr_actor,Entities,Entidades
config_access_rdcdMot_name,Reduced Motion,Reduzir Movimento
user_eff_name_sal0,Salenis 0,Salenis 0
user_eff_name_sal1,Salenis 1,Salenis 1
user_eff_name_sal2,Salenis 2,Salenis 2
user_eff_desc_sal0,Salenis is a world-famous dish.\nIt tastes funny.,O Salenis é uma comida muito famosa.\nO gosto dele é peculiar.
user_eff_desc_sal1,Salenis is a fascinating creation.\nIts smell is pleasing.,O Salenis é uma criação fascinante.\nO cheiro dele é delicioso.
user_eff_desc_sal2,Salenis is a political symbol.\nIts texture is horrifying.,O Salenis é um símbolo político.\nA textura dele é horrível.
user_fcn_name_kart,Kart,Kart
user_fcn_desc_kart,The fastest in the West.,O mais rápido do Oeste.
user_thm_name_dflt,Default,Padrão
user_thm_name_simple,Simple,Simples
user_thm_name_madot,Diary,Diário
user_thm_desc_dflt,The default theme.,O tema padrão.
user_thm_desc_simple,"A simple, yet elegant, theme.","Um tema simples, mas elegante."
user_thm_desc_madot,A familiar theme.,Um tema familiar.
menu_home_main_option_0,Start,Jogar
menu_home_main_option_1,Settings,Opções
menu_home_main_option_2,Shut down,Desligar
menu_config_main_option_0,Language,Idioma
menu_config_main_option_1,Graphics,Gráficos
menu_config_main_option_2,Music & Sounds,Músicas & Sons
menu_config_main_option_3,Accessibility,Acessibilidade
menu_config_all_option_value_0,No,Não
menu_config_all_option_value_1,Yes,Sim
